,datum,tage,lebenszahl,paarsumme
282542,30.07.0774,282542,1,168
282572,29.08.0774,282572,1,168
282602,28.09.0774,282602,1,168
282631,27.10.0774,282631,1,168
282661,26.11.0774,282661,1,168
282690,25.12.0774,282690,1,168
282847,31.05.0775,282847,1,168
282877,30.06.0775,282877,1,168
282906,29.07.0775,282906,1,168
282936,28.08.0775,282936,1,168
282966,27.09.0775,282966,1,168
282995,26.10.0775,282995,1,168
283025,25.11.0775,283025,1,168
283054,24.12.0775,283054,1,168
283212,30.05.0776,283212,1,168
283242,29.06.0776,283242,1,168
283271,28.07.0776,283271,1,168
283301,27.08.0776,283301,1,168
283331,26.09.0776,283331,1,168
283360,25.10.0776,283360,1,168
283390,24.11.0776,283390,1,168
283419,23.12.0776,283419,1,168
283517,31.03.0777,283517,1,168
283547,30.04.0777,283547,1,168
283576,29.05.0777,283576,1,168
283606,28.06.0777,283606,1,168
283635,27.07.0777,283635,1,168
283665,26.08.0777,283665,1,168
283695,25.09.0777,283695,1,168
283724,24.10.0777,283724,1,168
283754,23.11.0777,283754,1,168
283783,22.12.0777,283783,1,168
316664,31.12.0867,316664,1,168
317029,30.12.0868,317029,1,168
317334,31.10.0869,317334,1,168
317364,30.11.0869,317364,1,168
317393,29.12.0869,317393,1,168
317698,30.10.0870,317698,1,168
317728,29.11.0870,317728,1,168
317757,28.12.0870,317757,1,168
318003,31.08.0871,318003,1,168
318033,30.09.0871,318033,1,168
318062,29.10.0871,318062,1,168
318092,28.11.0871,318092,1,168
318121,27.12.0871,318121,1,168
318338,31.07.0872,318338,1,168
318368,30.08.0872,318368,1,168
318398,29.09.0872,318398,1,168
318427,28.10.0872,318427,1,168
318457,27.11.0872,318457,1,168
318486,26.12.0872,318486,1,168
318702,30.07.0873,318702,1,168
318732,29.08.0873,318732,1,168
318762,28.09.0873,318762,1,168
318791,27.10.0873,318791,1,168
318821,26.11.0873,318821,1,168
318850,25.12.0873,318850,1,168
319007,31.05.0874,319007,1,168
319037,30.06.0874,319037,1,168
319066,29.07.0874,319066,1,168
319096,28.08.0874,319096,1,168
319126,27.09.0874,319126,1,168
319155,26.10.0874,319155,1,168
319185,25.11.0874,319185,1,168
319214,24.12.0874,319214,1,168
319371,30.05.0875,319371,1,168
319401,29.06.0875,319401,1,168
319430,28.07.0875,319430,1,168
319460,27.08.0875,319460,1,168
319490,26.09.0875,319490,1,168
319519,25.10.0875,319519,1,168
319549,24.11.0875,319549,1,168
319578,23.12.0875,319578,1,168
319677,31.03.0876,319677,1,168
319707,30.04.0876,319707,1,168
319736,29.05.0876,319736,1,168
319766,28.06.0876,319766,1,168
319795,27.07.0876,319795,1,168
319825,26.08.0876,319825,1,168
319855,25.09.0876,319855,1,168
319884,24.10.0876,319884,1,168
319914,23.11.0876,319914,1,168
319943,22.12.0876,319943,1,168
320041,30.03.0877,320041,1,168
320071,29.04.0877,320071,1,168
320100,28.05.0877,320100,1,168
320130,27.06.0877,320130,1,168
320159,26.07.0877,320159,1,168
320189,25.08.0877,320189,1,168
320219,24.09.0877,320219,1,168
320248,23.10.0877,320248,1,168
320278,22.11.0877,320278,1,168
320307,21.12.0877,320307,1,168
352823,31.12.0966,352823,1,168
353187,30.12.0967,353187,1,168
353493,31.10.0968,353493,1,168
353523,30.11.0968,353523,1,168
353552,29.12.0968,353552,1,168
353857,30.10.0969,353857,1,168
353887,29.11.0969,353887,1,168
353916,28.12.0969,353916,1,168
354162,31.08.0970,354162,1,168
354192,30.09.0970,354192,1,168
354221,29.10.0970,354221,1,168
354251,28.11.0970,354251,1,168
354280,27.12.0970,354280,1,168
354496,31.07.0971,354496,1,168
354526,30.08.0971,354526,1,168
354556,29.09.0971,354556,1,168
354585,28.10.0971,354585,1,168
354615,27.11.0971,354615,1,168
354644,26.12.0971,354644,1,168
354861,30.07.0972,354861,1,168
354891,29.08.0972,354891,1,168
354921,28.09.0972,354921,1,168
354950,27.10.0972,354950,1,168
354980,26.11.0972,354980,1,168
355009,25.12.0972,355009,1,168
355166,31.05.0973,355166,1,168
355196,30.06.0973,355196,1,168
355225,29.07.0973,355225,1,168
355255,28.08.0973,355255,1,168
355285,27.09.0973,355285,1,168
355314,26.10.0973,355314,1,168
355344,25.11.0973,355344,1,168
355373,24.12.0973,355373,1,168
355530,30.05.0974,355530,1,168
355560,29.06.0974,355560,1,168
355589,28.07.0974,355589,1,168
355619,27.08.0974,355619,1,168
355649,26.09.0974,355649,1,168
355678,25.10.0974,355678,1,168
355708,24.11.0974,355708,1,168
355737,23.12.0974,355737,1,168
355835,31.03.0975,355835,1,168
355865,30.04.0975,355865,1,168
355894,29.05.0975,355894,1,168
355924,28.06.0975,355924,1,168
355953,27.07.0975,355953,1,168
355983,26.08.0975,355983,1,168
356013,25.09.0975,356013,1,168
356042,24.10.0975,356042,1,168
356072,23.11.0975,356072,1,168
356101,22.12.0975,356101,1,168
356200,30.03.0976,356200,1,168
356230,29.04.0976,356230,1,168
356259,28.05.0976,356259,1,168
356289,27.06.0976,356289,1,168
356318,26.07.0976,356318,1,168
356348,25.08.0976,356348,1,168
356378,24.09.0976,356378,1,168
356407,23.10.0976,356407,1,168
356437,22.11.0976,356437,1,168
356466,21.12.0976,356466,1,168
356507,31.01.0977,356507,1,168
356564,29.03.0977,356564,1,168
356594,28.04.0977,356594,1,168
356623,27.05.0977,356623,1,168
356653,26.06.0977,356653,1,168
356682,25.07.0977,356682,1,168
356712,24.08.0977,356712,1,168
356742,23.09.0977,356742,1,168
356771,22.10.0977,356771,1,168
356801,21.11.0977,356801,1,168
356830,20.12.0977,356830,1,168
388982,31.12.1065,388982,1,168
389346,30.12.1066,389346,1,168
389651,31.10.1067,389651,1,168
389681,30.11.1067,389681,1,168
389710,29.12.1067,389710,1,168
390016,30.10.1068,390016,1,168
390046,29.11.1068,390046,1,168
390075,28.12.1068,390075,1,168
390321,31.08.1069,390321,1,168
390351,30.09.1069,390351,1,168
390380,29.10.1069,390380,1,168
390410,28.11.1069,390410,1,168
390439,27.12.1069,390439,1,168
390655,31.07.1070,390655,1,168
390685,30.08.1070,390685,1,168
390715,29.09.1070,390715,1,168
390744,28.10.1070,390744,1,168
390774,27.11.1070,390774,1,168
390803,26.12.1070,390803,1,168
391019,30.07.1071,391019,1,168
391049,29.08.1071,391049,1,168
391079,28.09.1071,391079,1,168
391108,27.10.1071,391108,1,168
391138,26.11.1071,391138,1,168
391167,25.12.1071,391167,1,168
391325,31.05.1072,391325,1,168
391355,30.06.1072,391355,1,168
391384,29.07.1072,391384,1,168
391414,28.08.1072,391414,1,168
391444,27.09.1072,391444,1,168
391473,26.10.1072,391473,1,168
391503,25.11.1072,391503,1,168
391532,24.12.1072,391532,1,168
391689,30.05.1073,391689,1,168
391719,29.06.1073,391719,1,168
391748,28.07.1073,391748,1,168
391778,27.08.1073,391778,1,168
391808,26.09.1073,391808,1,168
391837,25.10.1073,391837,1,168
391867,24.11.1073,391867,1,168
391896,23.12.1073,391896,1,168
391994,31.03.1074,391994,1,168
392024,30.04.1074,392024,1,168
392053,29.05.1074,392053,1,168
392083,28.06.1074,392083,1,168
392112,27.07.1074,392112,1,168
392142,26.08.1074,392142,1,168
392172,25.09.1074,392172,1,168
392201,24.10.1074,392201,1,168
392231,23.11.1074,392231,1,168
392260,22.12.1074,392260,1,168
392358,30.03.1075,392358,1,168
392388,29.04.1075,392388,1,168
392417,28.05.1075,392417,1,168
392447,27.06.1075,392447,1,168
392476,26.07.1075,392476,1,168
392506,25.08.1075,392506,1,168
392536,24.09.1075,392536,1,168
392565,23.10.1075,392565,1,168
392595,22.11.1075,392595,1,168
392624,21.12.1075,392624,1,168
392665,31.01.1076,392665,1,168
392723,29.03.1076,392723,1,168
392753,28.04.1076,392753,1,168
392782,27.05.1076,392782,1,168
392812,26.06.1076,392812,1,168
