,datum,tage,lebenszahl,paarsumme
537960,20.11.1473,537960,1,168
537989,19.12.1473,537989,1,168
538030,29.01.1474,538030,1,168
538060,28.02.1474,538060,1,168
538087,27.03.1474,538087,1,168
538117,26.04.1474,538117,1,168
538146,25.05.1474,538146,1,168
538176,24.06.1474,538176,1,168
538205,23.07.1474,538205,1,168
538235,22.08.1474,538235,1,168
538265,21.09.1474,538265,1,168
538294,20.10.1474,538294,1,168
538324,19.11.1474,538324,1,168
538353,18.12.1474,538353,1,168
538394,28.01.1475,538394,1,168
538424,27.02.1475,538424,1,168
538451,26.03.1475,538451,1,168
538481,25.04.1475,538481,1,168
538510,24.05.1475,538510,1,168
538540,23.06.1475,538540,1,168
538569,22.07.1475,538569,1,168
538599,21.08.1475,538599,1,168
538629,20.09.1475,538629,1,168
538658,19.10.1475,538658,1,168
538688,18.11.1475,538688,1,168
538717,17.12.1475,538717,1,168
538758,27.01.1476,538758,1,168
538788,26.02.1476,538788,1,168
538816,25.03.1476,538816,1,168
538846,24.04.1476,538846,1,168
538875,23.05.1476,538875,1,168
538905,22.06.1476,538905,1,168
538934,21.07.1476,538934,1,168
538964,20.08.1476,538964,1,168
538994,19.09.1476,538994,1,168
539023,18.10.1476,539023,1,168
539053,17.11.1476,539053,1,168
539082,16.12.1476,539082,1,168
539123,26.01.1477,539123,1,168
539153,25.02.1477,539153,1,168
539180,24.03.1477,539180,1,168
539210,23.04.1477,539210,1,168
539239,22.05.1477,539239,1,168
539269,21.06.1477,539269,1,168
539298,20.07.1477,539298,1,168
539328,19.08.1477,539328,1,168
539358,18.09.1477,539358,1,168
539387,17.10.1477,539387,1,168
539417,16.11.1477,539417,1,168
539446,15.12.1477,539446,1,168
569777,31.12.1560,569777,1,168
570141,30.12.1561,570141,1,168
570446,31.10.1562,570446,1,168
570476,30.11.1562,570476,1,168
570505,29.12.1562,570505,1,168
570810,30.10.1563,570810,1,168
570840,29.11.1563,570840,1,168
570869,28.12.1563,570869,1,168
571116,31.08.1564,571116,1,168
571146,30.09.1564,571146,1,168
571175,29.10.1564,571175,1,168
571205,28.11.1564,571205,1,168
571234,27.12.1564,571234,1,168
571450,31.07.1565,571450,1,168
571480,30.08.1565,571480,1,168
571510,29.09.1565,571510,1,168
571539,28.10.1565,571539,1,168
571569,27.11.1565,571569,1,168
571598,26.12.1565,571598,1,168
571814,30.07.1566,571814,1,168
571844,29.08.1566,571844,1,168
571874,28.09.1566,571874,1,168
571903,27.10.1566,571903,1,168
571933,26.11.1566,571933,1,168
571962,25.12.1566,571962,1,168
572119,31.05.1567,572119,1,168
572149,30.06.1567,572149,1,168
572178,29.07.1567,572178,1,168
572208,28.08.1567,572208,1,168
572238,27.09.1567,572238,1,168
572267,26.10.1567,572267,1,168
572297,25.11.1567,572297,1,168
572326,24.12.1567,572326,1,168
572484,30.05.1568,572484,1,168
572514,29.06.1568,572514,1,168
572543,28.07.1568,572543,1,168
572573,27.08.1568,572573,1,168
572603,26.09.1568,572603,1,168
572632,25.10.1568,572632,1,168
572662,24.11.1568,572662,1,168
572691,23.12.1568,572691,1,168
572789,31.03.1569,572789,1,168
572819,30.04.1569,572819,1,168
572848,29.05.1569,572848,1,168
572878,28.06.1569,572878,1,168
572907,27.07.1569,572907,1,168
572937,26.08.1569,572937,1,168
572967,25.09.1569,572967,1,168
572996,24.10.1569,572996,1,168
573026,23.11.1569,573026,1,168
573055,22.12.1569,573055,1,168
573153,30.03.1570,573153,1,168
573183,29.04.1570,573183,1,168
573212,28.05.1570,573212,1,168
573242,27.06.1570,573242,1,168
573271,26.07.1570,573271,1,168
573301,25.08.1570,573301,1,168
573331,24.09.1570,573331,1,168
573360,23.10.1570,573360,1,168
573390,22.11.1570,573390,1,168
573419,21.12.1570,573419,1,168
573460,31.01.1571,573460,1,168
573517,29.03.1571,573517,1,168
573547,28.04.1571,573547,1,168
573576,27.05.1571,573576,1,168
573606,26.06.1571,573606,1,168
573635,25.07.1571,573635,1,168
573665,24.08.1571,573665,1,168
573695,23.09.1571,573695,1,168
573724,22.10.1571,573724,1,168
573754,21.11.1571,573754,1,168
573783,20.12.1571,573783,1,168
573824,30.01.1572,573824,1,168
573854,29.02.1572,573854,1,168
573882,28.03.1572,573882,1,168
573912,27.04.1572,573912,1,168
573941,26.05.1572,573941,1,168
573971,25.06.1572,573971,1,168
574000,24.07.1572,574000,1,168
574030,23.08.1572,574030,1,168
574060,22.09.1572,574060,1,168
574089,21.10.1572,574089,1,168
574119,20.11.1572,574119,1,168
574148,19.12.1572,574148,1,168
574189,29.01.1573,574189,1,168
574219,28.02.1573,574219,1,168
574246,27.03.1573,574246,1,168
574276,26.04.1573,574276,1,168
574305,25.05.1573,574305,1,168
574335,24.06.1573,574335,1,168
574364,23.07.1573,574364,1,168
574394,22.08.1573,574394,1,168
574424,21.09.1573,574424,1,168
574453,20.10.1573,574453,1,168
574483,19.11.1573,574483,1,168
574512,18.12.1573,574512,1,168
574553,28.01.1574,574553,1,168
574583,27.02.1574,574583,1,168
574610,26.03.1574,574610,1,168
574640,25.04.1574,574640,1,168
574669,24.05.1574,574669,1,168
574699,23.06.1574,574699,1,168
574728,22.07.1574,574728,1,168
574758,21.08.1574,574758,1,168
574788,20.09.1574,574788,1,168
574817,19.10.1574,574817,1,168
574847,18.11.1574,574847,1,168
574876,17.12.1574,574876,1,168
574917,27.01.1575,574917,1,168
574947,26.02.1575,574947,1,168
574974,25.03.1575,574974,1,168
575004,24.04.1575,575004,1,168
575033,23.05.1575,575033,1,168
575063,22.06.1575,575063,1,168
575092,21.07.1575,575092,1,168
575122,20.08.1575,575122,1,168
575152,19.09.1575,575152,1,168
575181,18.10.1575,575181,1,168
575211,17.11.1575,575211,1,168
575240,16.12.1575,575240,1,168
575281,26.01.1576,575281,1,168
575311,25.02.1576,575311,1,168
575339,24.03.1576,575339,1,168
575369,23.04.1576,575369,1,168
575398,22.05.1576,575398,1,168
575428,21.06.1576,575428,1,168
575457,20.07.1576,575457,1,168
575487,19.08.1576,575487,1,168
575517,18.09.1576,575517,1,168
575546,17.10.1576,575546,1,168
575576,16.11.1576,575576,1,168
575605,15.12.1576,575605,1,168
575646,25.01.1577,575646,1,168
575676,24.02.1577,575676,1,168
575703,23.03.1577,575703,1,168
575733,22.04.1577,575733,1,168
575762,21.05.1577,575762,1,168
575792,20.06.1577,575792,1,168
575821,19.07.1577,575821,1,168
575851,18.08.1577,575851,1,168
575881,17.09.1577,575881,1,168
575910,16.10.1577,575910,1,168
575940,15.11.1577,575940,1,168
575969,14.12.1577,575969,1,168
605936,31.12.1659,605936,1,168
606301,30.12.1660,606301,1,168
606606,31.10.1661,606606,1,168
606636,30.11.1661,606636,1,168
606665,29.12.1661,606665,1,168
606970,30.10.1662,606970,1,168
607000,29.11.1662,607000,1,168
607029,28.12.1662,607029,1,168
607275,31.08.1663,607275,1,168
607305,30.09.1663,607305,1,168
607334,29.10.1663,607334,1,168
607364,28.11.1663,607364,1,168
607393,27.12.1663,607393,1,168
607610,31.07.1664,607610,1,168
607640,30.08.1664,607640,1,168
607670,29.09.1664,607670,1,168
607699,28.10.1664,607699,1,168
607729,27.11.1664,607729,1,168
607758,26.12.1664,607758,1,168
607974,30.07.1665,607974,1,168
608004,29.08.1665,608004,1,168
608034,28.09.1665,608034,1,168
608063,27.10.1665,608063,1,168
608093,26.11.1665,608093,1,168
608122,25.12.1665,608122,1,168
608279,31.05.1666,608279,1,168
608309,30.06.1666,608309,1,168
608338,29.07.1666,608338,1,168
608368,28.08.1666,608368,1,168
608398,27.09.1666,608398,1,168
608427,26.10.1666,608427,1,168
608457,25.11.1666,608457,1,168
608486,24.12.1666,608486,1,168
608643,30.05.1667,608643,1,168
608673,29.06.1667,608673,1,168
608702,28.07.1667,608702,1,168
608732,27.08.1667,608732,1,168
608762,26.09.1667,608762,1,168
608791,25.10.1667,608791,1,168
608821,24.11.1667,608821,1,168
608850,23.12.1667,608850,1,168
608949,31.03.1668,608949,1,168
608979,30.04.1668,608979,1,168
609008,29.05.1668,609008,1,168
609038,28.06.1668,609038,1,168
609067,27.07.1668,609067,1,168
609097,26.08.1668,609097,1,168
609127,25.09.1668,609127,1,168
609156,24.10.1668,609156,1,168
609186,23.11.1668,609186,1,168
609215,22.12.1668,609215,1,168
609313,30.03.1669,609313,1,168
609343,29.04.1669,609343,1,168
609372,28.05.1669,609372,1,168
609402,27.06.1669,609402,1,168
609431,26.07.1669,609431,1,168
609461,25.08.1669,609461,1,168
609491,24.09.1669,609491,1,168
609520,23.10.1669,609520,1,168
609550,22.11.1669,609550,1,168
609579,21.12.1669,609579,1,168
609620,31.01.1670,609620,1,168
609677,29.03.1670,609677,1,168
609707,28.04.1670,609707,1,168
609736,27.05.1670,609736,1,168
609766,26.06.1670,609766,1,168
609795,25.07.1670,609795,1,168
609825,24.08.1670,609825,1,168
609855,23.09.1670,609855,1,168
609884,22.10.1670,609884,1,168
609914,21.11.1670,609914,1,168
609943,20.12.1670,609943,1,168
609984,30.01.1671,609984,1,168
610041,28.03.1671,610041,1,168
610071,27.04.1671,610071,1,168
610100,26.05.1671,610100,1,168
610130,25.06.1671,610130,1,168
610159,24.07.1671,610159,1,168
610189,23.08.1671,610189,1,168
610219,22.09.1671,610219,1,168
610248,21.10.1671,610248,1,168
610278,20.11.1671,610278,1,168
610307,19.12.1671,610307,1,168
610348,29.01.1672,610348,1,168
610378,28.02.1672,610378,1,168
610406,27.03.1672,610406,1,168
610436,26.04.1672,610436,1,168
610465,25.05.1672,610465,1,168
610495,24.06.1672,610495,1,168
610524,23.07.1672,610524,1,168
610554,22.08.1672,610554,1,168
610584,21.09.1672,610584,1,168
610613,20.10.1672,610613,1,168
610643,19.11.1672,610643,1,168
610672,18.12.1672,610672,1,168
610713,28.01.1673,610713,1,168
610743,27.02.1673,610743,1,168
610770,26.03.1673,610770,1,168
610800,25.04.1673,610800,1,168
610829,24.05.1673,610829,1,168
610859,23.06.1673,610859,1,168
610888,22.07.1673,610888,1,168
610918,21.08.1673,610918,1,168
610948,20.09.1673,610948,1,168
610977,19.10.1673,610977,1,168
611007,18.11.1673,611007,1,168
611036,17.12.1673,611036,1,168
611077,27.01.1674,611077,1,168
611107,26.02.1674,611107,1,168
611134,25.03.1674,611134,1,168
611164,24.04.1674,611164,1,168
611193,23.05.1674,611193,1,168
611223,22.06.1674,611223,1,168
611252,21.07.1674,611252,1,168
611282,20.08.1674,611282,1,168
611312,19.09.1674,611312,1,168
611341,18.10.1674,611341,1,168
611371,17.11.1674,611371,1,168
611400,16.12.1674,611400,1,168
611441,26.01.1675,611441,1,168
611471,25.02.1675,611471,1,168
611498,24.03.1675,611498,1,168
611528,23.04.1675,611528,1,168
611557,22.05.1675,611557,1,168
611587,21.06.1675,611587,1,168
611616,20.07.1675,611616,1,168
611646,19.08.1675,611646,1,168
611676,18.09.1675,611676,1,168
611705,17.10.1675,611705,1,168
611735,16.11.1675,611735,1,168
611764,15.12.1675,611764,1,168
611805,25.01.1676,611805,1,168
611835,24.02.1676,611835,1,168
611863,23.03.1676,611863,1,168
611893,22.04.1676,611893,1,168
611922,21.05.1676,611922,1,168
611952,20.06.1676,611952,1,168
611981,19.07.1676,611981,1,168
612011,18.08.1676,612011,1,168
612041,17.09.1676,612041,1,168
612070,16.10.1676,612070,1,168
612100,15.11.1676,612100,1,168
612129,14.12.1676,612129,1,168
612170,24.01.1677,612170,1,168
612200,23.02.1677,612200,1,168
612227,22.03.1677,612227,1,168
612257,21.04.1677,612257,1,168
612286,20.05.1677,612286,1,168
612316,19.06.1677,612316,1,168
612345,18.07.1677,612345,1,168
612375,17.08.1677,612375,1,168
612405,16.09.1677,612405,1,168
612434,15.10.1677,612434,1,168
612464,14.11.1677,612464,1,168
612493,13.12.1677,612493,1,168
642095,31.12.1758,642095,1,168
642459,30.12.1759,642459,1,168
642765,31.10.1760,642765,1,168
642795,30.11.1760,642795,1,168
642824,29.12.1760,642824,1,168
643129,30.10.1761,643129,1,168
643159,29.11.1761,643159,1,168
643188,28.12.1761,643188,1,168
643434,31.08.1762,643434,1,168
643464,30.09.1762,643464,1,168
643493,29.10.1762,643493,1,168
643523,28.11.1762,643523,1,168
643552,27.12.1762,643552,1,168
643768,31.07.1763,643768,1,168
643798,30.08.1763,643798,1,168
643828,29.09.1763,643828,1,168
643857,28.10.1763,643857,1,168
643887,27.11.1763,643887,1,168
643916,26.12.1763,643916,1,168
644133,30.07.1764,644133,1,168
644163,29.08.1764,644163,1,168
644193,28.09.1764,644193,1,168
644222,27.10.1764,644222,1,168
644252,26.11.1764,644252,1,168
644281,25.12.1764,644281,1,168
644438,31.05.1765,644438,1,168
644468,30.06.1765,644468,1,168
644497,29.07.1765,644497,1,168
644527,28.08.1765,644527,1,168
644557,27.09.1765,644557,1,168
644586,26.10.1765,644586,1,168
644616,25.11.1765,644616,1,168
644645,24.12.1765,644645,1,168
644802,30.05.1766,644802,1,168
644832,29.06.1766,644832,1,168
644861,28.07.1766,644861,1,168
644891,27.08.1766,644891,1,168
644921,26.09.1766,644921,1,168
644950,25.10.1766,644950,1,168
644980,24.11.1766,644980,1,168
645009,23.12.1766,645009,1,168
645107,31.03.1767,645107,1,168
645137,30.04.1767,645137,1,168
645166,29.05.1767,645166,1,168
645196,28.06.1767,645196,1,168
645225,27.07.1767,645225,1,168
645255,26.08.1767,645255,1,168
645285,25.09.1767,645285,1,168
645314,24.10.1767,645314,1,168
645344,23.11.1767,645344,1,168
645373,22.12.1767,645373,1,168
645472,30.03.1768,645472,1,168
645502,29.04.1768,645502,1,168
645531,28.05.1768,645531,1,168
645561,27.06.1768,645561,1,168
645590,26.07.1768,645590,1,168
645620,25.08.1768,645620,1,168
645650,24.09.1768,645650,1,168
645679,23.10.1768,645679,1,168
645709,22.11.1768,645709,1,168
645738,21.12.1768,645738,1,168
645779,31.01.1769,645779,1,168
645836,29.03.1769,645836,1,168
645866,28.04.1769,645866,1,168
645895,27.05.1769,645895,1,168
645925,26.06.1769,645925,1,168
645954,25.07.1769,645954,1,168
645984,24.08.1769,645984,1,168
646014,23.09.1769,646014,1,168
646043,22.10.1769,646043,1,168
646073,21.11.1769,646073,1,168
646102,20.12.1769,646102,1,168
646143,30.01.1770,646143,1,168
646200,28.03.1770,646200,1,168
646230,27.04.1770,646230,1,168
646259,26.05.1770,646259,1,168
646289,25.06.1770,646289,1,168
646318,24.07.1770,646318,1,168
646348,23.08.1770,646348,1,168
646378,22.09.1770,646378,1,168
646407,21.10.1770,646407,1,168
646437,20.11.1770,646437,1,168
646466,19.12.1770,646466,1,168
646507,29.01.1771,646507,1,168
646537,28.02.1771,646537,1,168
646564,27.03.1771,646564,1,168
646594,26.04.1771,646594,1,168
646623,25.05.1771,646623,1,168
646653,24.06.1771,646653,1,168
646682,23.07.1771,646682,1,168
646712,22.08.1771,646712,1,168
646742,21.09.1771,646742,1,168
646771,20.10.1771,646771,1,168
646801,19.11.1771,646801,1,168
646830,18.12.1771,646830,1,168
646871,28.01.1772,646871,1,168
646901,27.02.1772,646901,1,168
646929,26.03.1772,646929,1,168
646959,25.04.1772,646959,1,168
646988,24.05.1772,646988,1,168
647018,23.06.1772,647018,1,168
647047,22.07.1772,647047,1,168
647077,21.08.1772,647077,1,168
647107,20.09.1772,647107,1,168
647136,19.10.1772,647136,1,168
647166,18.11.1772,647166,1,168
647195,17.12.1772,647195,1,168
647236,27.01.1773,647236,1,168
647266,26.02.1773,647266,1,168
647293,25.03.1773,647293,1,168
647323,24.04.1773,647323,1,168
647352,23.05.1773,647352,1,168
647382,22.06.1773,647382,1,168
647411,21.07.1773,647411,1,168
647441,20.08.1773,647441,1,168
647471,19.09.1773,647471,1,168
647500,18.10.1773,647500,1,168
647530,17.11.1773,647530,1,168
647559,16.12.1773,647559,1,168
647600,26.01.1774,647600,1,168
647630,25.02.1774,647630,1,168
647657,24.03.1774,647657,1,168
647687,23.04.1774,647687,1,168
647716,22.05.1774,647716,1,168
647746,21.06.1774,647746,1,168
647775,20.07.1774,647775,1,168
647805,19.08.1774,647805,1,168
647835,18.09.1774,647835,1,168
647864,17.10.1774,647864,1,168
647894,16.11.1774,647894,1,168
647923,15.12.1774,647923,1,168
647964,25.01.1775,647964,1,168
647994,24.02.1775,647994,1,168
648021,23.03.1775,648021,1,168
648051,22.04.1775,648051,1,168
648080,21.05.1775,648080,1,168
648110,20.06.1775,648110,1,168
648139,19.07.1775,648139,1,168
648169,18.08.1775,648169,1,168
648199,17.09.1775,648199,1,168
648228,16.10.1775,648228,1,168
648258,15.11.1775,648258,1,168
648287,14.12.1775,648287,1,168
648328,24.01.1776,648328,1,168
648358,23.02.1776,648358,1,168
648386,22.03.1776,648386,1,168
648416,21.04.1776,648416,1,168
648445,20.05.1776,648445,1,168
648475,19.06.1776,648475,1,168
648504,18.07.1776,648504,1,168
648534,17.08.1776,648534,1,168
648564,16.09.1776,648564,1,168
648593,15.10.1776,648593,1,168
648623,14.11.1776,648623,1,168
648652,13.12.1776,648652,1,168
648693,23.01.1777,648693,1,168
648723,22.02.1777,648723,1,168
648750,21.03.1777,648750,1,168
648780,20.04.1777,648780,1,168
648809,19.05.1777,648809,1,168
648839,18.06.1777,648839,1,168
648868,17.07.1777,648868,1,168
648898,16.08.1777,648898,1,168
648928,15.09.1777,648928,1,168
648957,14.10.1777,648957,1,168
648987,13.11.1777,648987,1,168
649016,12.12.1777,649016,1,168
678254,31.12.1857,678254,1,168
678618,30.12.1858,678618,1,168
678923,31.10.1859,678923,1,168
678953,30.11.1859,678953,1,168
678982,29.12.1859,678982,1,168
679288,30.10.1860,679288,1,168
679318,29.11.1860,679318,1,168
679347,28.12.1860,679347,1,168
679593,31.08.1861,679593,1,168
679623,30.09.1861,679623,1,168
679652,29.10.1861,679652,1,168
679682,28.11.1861,679682,1,168
679711,27.12.1861,679711,1,168
679927,31.07.1862,679927,1,168
679957,30.08.1862,679957,1,168
679987,29.09.1862,679987,1,168
680016,28.10.1862,680016,1,168
680046,27.11.1862,680046,1,168
680075,26.12.1862,680075,1,168
680291,30.07.1863,680291,1,168
680321,29.08.1863,680321,1,168
680351,28.09.1863,680351,1,168
680380,27.10.1863,680380,1,168
680410,26.11.1863,680410,1,168
680439,25.12.1863,680439,1,168
680597,31.05.1864,680597,1,168
680627,30.06.1864,680627,1,168
680656,29.07.1864,680656,1,168
680686,28.08.1864,680686,1,168
680716,27.09.1864,680716,1,168
680745,26.10.1864,680745,1,168
680775,25.11.1864,680775,1,168
680804,24.12.1864,680804,1,168
680961,30.05.1865,680961,1,168
680991,29.06.1865,680991,1,168
681020,28.07.1865,681020,1,168
681050,27.08.1865,681050,1,168
681080,26.09.1865,681080,1,168
681109,25.10.1865,681109,1,168
681139,24.11.1865,681139,1,168
681168,23.12.1865,681168,1,168
681266,31.03.1866,681266,1,168
681296,30.04.1866,681296,1,168
681325,29.05.1866,681325,1,168
681355,28.06.1866,681355,1,168
681384,27.07.1866,681384,1,168
681414,26.08.1866,681414,1,168
681444,25.09.1866,681444,1,168
681473,24.10.1866,681473,1,168
681503,23.11.1866,681503,1,168
681532,22.12.1866,681532,1,168
681630,30.03.1867,681630,1,168
681660,29.04.1867,681660,1,168
681689,28.05.1867,681689,1,168
681719,27.06.1867,681719,1,168
681748,26.07.1867,681748,1,168
681778,25.08.1867,681778,1,168
681808,24.09.1867,681808,1,168
681837,23.10.1867,681837,1,168
681867,22.11.1867,681867,1,168
681896,21.12.1867,681896,1,168
681937,31.01.1868,681937,1,168
681995,29.03.1868,681995,1,168
682025,28.04.1868,682025,1,168
682054,27.05.1868,682054,1,168
682084,26.06.1868,682084,1,168
682113,25.07.1868,682113,1,168
682143,24.08.1868,682143,1,168
682173,23.09.1868,682173,1,168
682202,22.10.1868,682202,1,168
682232,21.11.1868,682232,1,168
682261,20.12.1868,682261,1,168
682302,30.01.1869,682302,1,168
682359,28.03.1869,682359,1,168
682389,27.04.1869,682389,1,168
682418,26.05.1869,682418,1,168
682448,25.06.1869,682448,1,168
682477,24.07.1869,682477,1,168
682507,23.08.1869,682507,1,168
682537,22.09.1869,682537,1,168
682566,21.10.1869,682566,1,168
682596,20.11.1869,682596,1,168
682625,19.12.1869,682625,1,168
682666,29.01.1870,682666,1,168
682696,28.02.1870,682696,1,168
682723,27.03.1870,682723,1,168
682753,26.04.1870,682753,1,168
682782,25.05.1870,682782,1,168
682812,24.06.1870,682812,1,168
682841,23.07.1870,682841,1,168
682871,22.08.1870,682871,1,168
682901,21.09.1870,682901,1,168
682930,20.10.1870,682930,1,168
682960,19.11.1870,682960,1,168
682989,18.12.1870,682989,1,168
683030,28.01.1871,683030,1,168
683060,27.02.1871,683060,1,168
683087,26.03.1871,683087,1,168
683117,25.04.1871,683117,1,168
683146,24.05.1871,683146,1,168
683176,23.06.1871,683176,1,168
683205,22.07.1871,683205,1,168
683235,21.08.1871,683235,1,168
683265,20.09.1871,683265,1,168
683294,19.10.1871,683294,1,168
683324,18.11.1871,683324,1,168
683353,17.12.1871,683353,1,168
683394,27.01.1872,683394,1,168
683424,26.02.1872,683424,1,168
683452,25.03.1872,683452,1,168
683482,24.04.1872,683482,1,168
683511,23.05.1872,683511,1,168
683541,22.06.1872,683541,1,168
683570,21.07.1872,683570,1,168
683600,20.08.1872,683600,1,168
683630,19.09.1872,683630,1,168
683659,18.10.1872,683659,1,168
683689,17.11.1872,683689,1,168
683718,16.12.1872,683718,1,168
683759,26.01.1873,683759,1,168
683789,25.02.1873,683789,1,168
683816,24.03.1873,683816,1,168
683846,23.04.1873,683846,1,168
683875,22.05.1873,683875,1,168
683905,21.06.1873,683905,1,168
683934,20.07.1873,683934,1,168
683964,19.08.1873,683964,1,168
683994,18.09.1873,683994,1,168
684023,17.10.1873,684023,1,168
684053,16.11.1873,684053,1,168
684082,15.12.1873,684082,1,168
684123,25.01.1874,684123,1,168
684153,24.02.1874,684153,1,168
684180,23.03.1874,684180,1,168
684210,22.04.1874,684210,1,168
684239,21.05.1874,684239,1,168
684269,20.06.1874,684269,1,168
684298,19.07.1874,684298,1,168
684328,18.08.1874,684328,1,168
684358,17.09.1874,684358,1,168
684387,16.10.1874,684387,1,168
684417,15.11.1874,684417,1,168
684446,14.12.1874,684446,1,168
684487,24.01.1875,684487,1,168
684517,23.02.1875,684517,1,168
684544,22.03.1875,684544,1,168
684574,21.04.1875,684574,1,168
684603,20.05.1875,684603,1,168
684633,19.06.1875,684633,1,168
684662,18.07.1875,684662,1,168
684692,17.08.1875,684692,1,168
684722,16.09.1875,684722,1,168
684751,15.10.1875,684751,1,168
684781,14.11.1875,684781,1,168
684810,13.12.1875,684810,1,168
684851,23.01.1876,684851,1,168
684881,22.02.1876,684881,1,168
684909,21.03.1876,684909,1,168
684939,20.04.1876,684939,1,168
684968,19.05.1876,684968,1,168
684998,18.06.1876,684998,1,168
685027,17.07.1876,685027,1,168
685057,16.08.1876,685057,1,168
685087,15.09.1876,685087,1,168
685116,14.10.1876,685116,1,168
685146,13.11.1876,685146,1,168
685175,12.12.1876,685175,1,168
685216,22.01.1877,685216,1,168
685246,21.02.1877,685246,1,168
685273,20.03.1877,685273,1,168
685303,19.04.1877,685303,1,168
685332,18.05.1877,685332,1,168
685362,17.06.1877,685362,1,168
685391,16.07.1877,685391,1,168
685421,15.08.1877,685421,1,168
685451,14.09.1877,685451,1,168
685480,13.10.1877,685480,1,168
685510,12.11.1877,685510,1,168
685539,11.12.1877,685539,1,168
714413,31.12.1956,714413,1,168
714777,30.12.1957,714777,1,168
715082,31.10.1958,715082,1,168
715112,30.11.1958,715112,1,168
715141,29.12.1958,715141,1,168
715446,30.10.1959,715446,1,168
715476,29.11.1959,715476,1,168
715505,28.12.1959,715505,1,168
715752,31.08.1960,715752,1,168
715782,30.09.1960,715782,1,168
715811,29.10.1960,715811,1,168
715841,28.11.1960,715841,1,168
715870,27.12.1960,715870,1,168
716086,31.07.1961,716086,1,168
716116,30.08.1961,716116,1,168
716146,29.09.1961,716146,1,168
716175,28.10.1961,716175,1,168
716205,27.11.1961,716205,1,168
716234,26.12.1961,716234,1,168
716450,30.07.1962,716450,1,168
716480,29.08.1962,716480,1,168
716510,28.09.1962,716510,1,168
716539,27.10.1962,716539,1,168
716569,26.11.1962,716569,1,168
716598,25.12.1962,716598,1,168
716755,31.05.1963,716755,1,168
716785,30.06.1963,716785,1,168
716814,29.07.1963,716814,1,168
716844,28.08.1963,716844,1,168
716874,27.09.1963,716874,1,168
716903,26.10.1963,716903,1,168
716933,25.11.1963,716933,1,168
716962,24.12.1963,716962,1,168
717120,30.05.1964,717120,1,168
717150,29.06.1964,717150,1,168
717179,28.07.1964,717179,1,168
717209,27.08.1964,717209,1,168
717239,26.09.1964,717239,1,168
717268,25.10.1964,717268,1,168
717298,24.11.1964,717298,1,168
717327,23.12.1964,717327,1,168
717425,31.03.1965,717425,1,168
717455,30.04.1965,717455,1,168
717484,29.05.1965,717484,1,168
717514,28.06.1965,717514,1,168
717543,27.07.1965,717543,1,168
717573,26.08.1965,717573,1,168
717603,25.09.1965,717603,1,168
717632,24.10.1965,717632,1,168
717662,23.11.1965,717662,1,168
717691,22.12.1965,717691,1,168
717789,30.03.1966,717789,1,168
717819,29.04.1966,717819,1,168
717848,28.05.1966,717848,1,168
717878,27.06.1966,717878,1,168
717907,26.07.1966,717907,1,168
717937,25.08.1966,717937,1,168
717967,24.09.1966,717967,1,168
717996,23.10.1966,717996,1,168
718026,22.11.1966,718026,1,168
718055,21.12.1966,718055,1,168
718096,31.01.1967,718096,1,168
718153,29.03.1967,718153,1,168
718183,28.04.1967,718183,1,168
718212,27.05.1967,718212,1,168
718242,26.06.1967,718242,1,168
718271,25.07.1967,718271,1,168
718301,24.08.1967,718301,1,168
718331,23.09.1967,718331,1,168
718360,22.10.1967,718360,1,168
718390,21.11.1967,718390,1,168
718419,20.12.1967,718419,1,168
718460,30.01.1968,718460,1,168
718490,29.02.1968,718490,1,168
718518,28.03.1968,718518,1,168
718548,27.04.1968,718548,1,168
718577,26.05.1968,718577,1,168
718607,25.06.1968,718607,1,168
718636,24.07.1968,718636,1,168
718666,23.08.1968,718666,1,168
718696,22.09.1968,718696,1,168
718725,21.10.1968,718725,1,168
718755,20.11.1968,718755,1,168
718784,19.12.1968,718784,1,168
718825,29.01.1969,718825,1,168
718855,28.02.1969,718855,1,168
718882,27.03.1969,718882,1,168
718912,26.04.1969,718912,1,168
718941,25.05.1969,718941,1,168
718971,24.06.1969,718971,1,168
719000,23.07.1969,719000,1,168
719030,22.08.1969,719030,1,168
719060,21.09.1969,719060,1,168
719089,20.10.1969,719089,1,168
719119,19.11.1969,719119,1,168
719148,18.12.1969,719148,1,168
719189,28.01.1970,719189,1,168
719219,27.02.1970,719219,1,168
719246,26.03.1970,719246,1,168
719276,25.04.1970,719276,1,168
719305,24.05.1970,719305,1,168
719335,23.06.1970,719335,1,168
719364,22.07.1970,719364,1,168
719394,21.08.1970,719394,1,168
719424,20.09.1970,719424,1,168
719453,19.10.1970,719453,1,168
719483,18.11.1970,719483,1,168
719512,17.12.1970,719512,1,168
719553,27.01.1971,719553,1,168
719583,26.02.1971,719583,1,168
719610,25.03.1971,719610,1,168
719640,24.04.1971,719640,1,168
719669,23.05.1971,719669,1,168
719699,22.06.1971,719699,1,168
719728,21.07.1971,719728,1,168
719758,20.08.1971,719758,1,168
719788,19.09.1971,719788,1,168
719817,18.10.1971,719817,1,168
719847,17.11.1971,719847,1,168
719876,16.12.1971,719876,1,168
719917,26.01.1972,719917,1,168
719947,25.02.1972,719947,1,168
719975,24.03.1972,719975,1,168
720005,23.04.1972,720005,1,168
720034,22.05.1972,720034,1,168
720064,21.06.1972,720064,1,168
720093,20.07.1972,720093,1,168
